epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,29068.3,1.97306,1.46305,2.64657,0.75242,0.70959,0.76215,0.59504,1.81543,3.11776,2.86862,0.0017335,0.0017335,0.0017335
169,29239.1,1.98337,1.4269,2.61674,0.75452,0.70873,0.76212,0.59499,1.81479,3.12088,2.86791,0.001684,0.001684,0.001684
170,29412.6,2.01131,1.49027,2.66834,0.7527,0.71064,0.76245,0.5953,1.81513,3.12046,2.86736,0.0016345,0.0016345,0.0016345
171,29585.7,2.00008,1.44413,2.62453,0.75128,0.71246,0.76279,0.5955,1.81469,3.12523,2.86746,0.001585,0.001585,0.001585
172,29757.5,1.96944,1.44732,2.6326,0.74657,0.71542,0.76288,0.59571,1.81443,3.12735,2.86797,0.0015355,0.0015355,0.0015355
173,29930.7,2.03014,1.50693,2.61556,0.74844,0.71488,0.76303,0.59569,1.81392,3.12536,2.86621,0.001486,0.001486,0.001486
174,30103,1.96043,1.43608,2.62483,0.74896,0.71382,0.76304,0.59594,1.81217,3.12425,2.86516,0.0014365,0.0014365,0.0014365
175,30274.8,1.99549,1.44617,2.62849,0.74845,0.71573,0.7632,0.59609,1.81203,3.12557,2.86531,0.001387,0.001387,0.001387
176,30446.8,1.99166,1.44652,2.65516,0.74927,0.71263,0.76326,0.59603,1.81127,3.12874,2.86442,0.0013375,0.0013375,0.0013375
177,30620,1.98934,1.41517,2.64215,0.75258,0.71153,0.76341,0.59606,1.81141,3.12813,2.86404,0.001288,0.001288,0.001288
178,30792.5,1.97123,1.39714,2.60765,0.76577,0.69994,0.76334,0.59604,1.81116,3.13143,2.86371,0.0012385,0.0012385,0.0012385
179,30965.4,1.97678,1.40988,2.61122,0.76161,0.70488,0.76346,0.59628,1.81101,3.13066,2.86345,0.001189,0.001189,0.001189
